Time,Misses,Width,Distance
21383,0,50,488.7289637416633
928,0,50,290.0
1316,0,50,335.2610922848042
1457,0,50,341.32096331752024
1371,0,50,325.2691193458119
1702,0,50,294.10882339705483
1023,0,50,288.61739379323626
1807,1,50,350.0
1852,1,50,329.84845004941286
1460,1,50,341.32096331752024
1564,1,50,286.0069929215018
1268,1,50,295.296461204668
972,1,50,306.75723300355935
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
15020,2,22,330.0
65620,2,22,330.0
18864,4,22,351.52382565055245
2096,4,22,375.89892258425004
2000,4,22,353.5533905932738
3945,4,22,367.1511950137164
55431,4,22,359.02646142032484
1460,4,22,380.0
7412,4,22,349.28498393145964
4536,4,22,362.3534186398688
46552,4,22,332.41540277189324
3120,4,22,336.1547262794322
3272,4,22,338.3784863137726
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1456,4,26,290.0
1412,4,26,300.0
1516,4,26,298.328677803526
1168,4,26,277.308492477241
2048,4,26,248.39484696748443
1652,4,26,288.44410203711914
1960,4,26,297.3213749463701
3365,4,26,271.6615541441225
1891,4,26,269.2582403567252
2540,4,26,295.296461204668
1220,4,26,269.0724809414742
1996,4,26,255.53864678361276
1172,4,26,235.3720459187964
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
2435,4,24,550.0
7264,4,24,570.3507692639679
6972,4,24,550.8175741568165
2048,4,24,563.5601121442148
3508,4,24,537.5872022286245
3364,4,24,533.3854141237834
2684,4,24,516.6236541235796
4049,4,24,570.0
4731,4,24,548.1788029466298
4037,4,24,564.3580423808985
2539,4,24,544.5181356024792
8580,5,24,547.0831746635972
42801,5,24,512.7387248882222
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
976,5,34,280.0
1360,5,34,270.0
1236,5,34,274.5906043549196
1128,5,34,290.68883707497264
1000,5,34,275.86228448267445
1175,5,34,266.27053911388697
1317,6,34,256.3201123595259
